gid,placename,pop,x,y
62026,Ezequiel Montes,14053,-99.8980555555556,20.6658333333333
62258,Jalpan De Serra,11010,-99.4730555555556,21.2172222222222
62514,La Cañada,10506,-100.331388888889,20.6063888888889
63007,Santiago De Querétaro,626495,-100.388055555556,20.5880555555556
63026,Juriquilla,13309,-100.458888888889,20.71
63056,San José El Alto,14094,-100.381388888889,20.655
63058,San Pedro Mártir,11552,-100.470277777778,20.6169444444444
63061,Santa Rosa Jáuregui,18508,-100.4475,20.7419444444444
63346,San Juan Del Río,138878,-99.9963888888889,20.3888888888889
63583,Tequisquiapan,29799,-99.8916666666667,20.5225
63800,Acajete,20923,-97.9511111111111,19.1033333333333
63928,Acatlán De Osorio,16307,-98.0486111111111,18.2033333333333
64001,Acatzingo De Hidalgo,25811,-97.7822222222222,18.9816666666667
64136,Ciudad De Ajalpan,28031,-97.2594444444444,18.3783333333333
64223,Altepexi,18217,-97.2986111111111,18.3675
64243,Amozoc De Mota,77106,-98.045,19.0461111111111
64252,Casa Blanca,17262,-98.1188888888889,19.0422222222222
64336,Atlixco,86690,-98.4377777777778,18.9088888888889
64648,Santa María Coronango,14859,-98.3069444444444,19.1322222222222
64650,San Francisco Ocotlán (Ocotlán),11636,-98.2852777777778,19.1322222222222
64821,San Juan Cuautlancingo,25104,-98.2725,19.0897222222222
64824,Sanctorum,27936,-98.2541666666667,19.0991666666667
64826,San Lorenzo Almecatla,13217,-98.2352777777778,19.1430555555556
65062,Ciudad Serdán,23824,-97.4466666666667,18.9888888888889
65121,Ciudad De Chiautla De Tapia,10320,-98.6038888888889,18.3
65262,Atencingo,10879,-98.6055555555556,18.5133333333333
65312,Ciudad De Chignahuapan,19608,-98.0327777777778,19.8394444444444
65469,Chignautla,11096,-97.3880555555556,19.8144444444444
65784,Guadalupe Victoria,10035,-97.3419444444444,19.2913888888889
65914,Huauchinango,56206,-98.0527777777778,20.1766666666667
66018,Huejotzingo,25684,-98.4063888888889,19.1619444444444
66032,Santa Ana Xalmimilulco,16125,-98.3830555555555,19.2119444444444
66481,Izúcar De Matamoros,43006,-98.4652777777778,18.6027777777778
66701,Santa María Zacatepec,12466,-98.3652777777778,19.1233333333333
66753,Ciudad De Libres,15536,-97.6866666666667,19.4663888888889
66902,San Buenaventura Nealtican,11517,-98.4288888888889,19.0516666666667
67309,Heróica Puebla De Zaragoza,1434062,-98.1975,19.0452777777778
67325,San Miguel Canoa,14863,-98.1030555555556,19.1519444444444
67328,Santa María Xonacatepec,13673,-98.1036111111111,19.0894444444444
67429,Quecholac,10216,-97.6611111111111,18.9572222222222
67434,Palmarito Tochapan,17213,-97.6355555555556,18.9033333333333
67542,Ciudad De Rafael Lara Grajales,10054,-97.8052777777778,19.2252777777778
67544,Los Reyes De Juárez,16683,-97.8127777777778,18.9458333333333
67559,San Andrés Cholula,39964,-98.2997222222222,19.0511111111111
67561,San Bernardino Tlaxcalancingo,54517,-98.275,19.0288888888889
67607,San Gabriel Chilac,12149,-97.35,18.3280555555556
67693,San Martín Texmelucan De Labastida,75518,-98.4336111111111,19.2852777777778
67698,San Rafael Tlanalapan,15998,-98.4680555555556,19.2916666666667
67699,Santa María Moyotzingo,27137,-98.4047222222222,19.2452777777778
67738,San Matías Tlalancaleca,11076,-98.4966666666667,19.3252777777778
