gid,genus,species,x,y
774286,Quercus,acutifolia,-96.825,19.6583333333333
774287,Quercus,acutifolia,-99.39167,21.92028
774288,Quercus,acutifolia,-94.0083333333333,16.5083333333333
774289,Quercus,acutifolia,-104.226666666667,19.5877777777778
774290,Quercus,acutifolia,-99.19417,23.1075
774291,Quercus,acutifolia,-100.980277777778,19.6502777777778
774292,Quercus,acutifolia,-99.564,20.915
774293,Quercus,acutifolia,-101.409,18.19
774294,Quercus,acutifolia,-99.473,21.222
774295,Quercus,acutifolia,-97.0569444444444,20.0583333333333
774296,Quercus,acutifolia,-100.65,18.29
774297,Quercus,acutifolia,-97.36,18.06
774298,Quercus,acutifolia,-101.98,19.595
774300,Quercus,acutifolia,-99.64,17.55
774301,Quercus,acutifolia,-100.47,19.03
774302,Quercus,acutifolia,-96.952,19.626
774304,Quercus,acutifolia,-99.5583333333333,20.9083333333333
774305,Quercus,acutifolia,-97.5336111111111,17.6766666666667
774306,Quercus,acutifolia,-98.8583333333333,19.5633333333333
774307,Quercus,acutifolia,-92.0666666666667,16.15
774308,Quercus,acutifolia,-97.0180555555555,18.9383333333333
774309,Quercus,acutifolia,-104.608333333333,20.0583333333333
774310,Quercus,acutifolia,-92.8680555555556,17.1152777777778
774311,Quercus,acutifolia,-99.6916666666667,17.525
774312,Quercus,acutifolia,-96.17083,16.5795219
774313,Quercus,acutifolia,-101.377,18.187
774315,Quercus,acutifolia,-100.203586111111,19.1980777777778
774316,Quercus,acutifolia,-96.9516666666667,19.6341666666667
774317,Quercus,acutifolia,-102.908333333333,18.7916666666667
774318,Quercus,acutifolia,-101.536666666667,19.4
774319,Quercus,acutifolia,-96.833,19.35
774320,Quercus,acutifolia,-100.709722222222,18.1741666666667
774321,Quercus,acutifolia,-99.5825,17.3427777777778
774322,Quercus,acutifolia,-96.9488888888889,19.5094444444444
774323,Quercus,acutifolia,-99.9136111111111,17.6736111111111
774324,Quercus,acutifolia,-92.22,15.38
774325,Quercus,acutifolia,-96.9025,19.4994444444444
774326,Quercus,acutifolia,-96.9433333333333,19.5125
774327,Quercus,acutifolia,-99.6583333333333,17.6583333333333
774328,Quercus,acutifolia,-92.6077222222222,15.5490833333333
774331,Quercus,acutifolia,-98.7616666666667,19.5166666666667
774332,Quercus,acutifolia,-100.16,17.56
774333,Quercus,acutifolia,-99.0233333333333,19.1933333333333
774334,Quercus,acutifolia,-93.6125,16.1958333333333
774335,Quercus,acutifolia,-96.9166666666667,19.5
774336,Quercus,acutifolia,-101.8,19.463333333333
774337,Quercus,acutifolia,-97.6183333333333,18.1425
774338,Quercus,acutifolia,-103.685277777778,19.4333333333333
774339,Quercus,acutifolia,-100.392,19.843
774340,Quercus,acutifolia,-92.45,16.5305555555556
774341,Quercus,acutifolia,-102.078,19.352
774342,Quercus,acutifolia,-92.2666666666667,15.3319444444444
774343,Quercus,acutifolia,-99.4408333333333,17.5563888888889
774344,Quercus,acutifolia,-99.6611111111111,18.5563888888889
774345,Quercus,acutifolia,-96.9433333333333,19.5125
774346,Quercus,acutifolia,-100.826944444444,19.8583333333333
774347,Quercus,acutifolia,-96.4841666666667,17.3352777777778
774348,Quercus,acutifolia,-97.4416666666667,17.4583333333333
774349,Quercus,acutifolia,-100.828,19.7
774350,Quercus,acutifolia,-100.791666666667,19.625
774351,Quercus,acutifolia,-99.5797222222222,17.3455555555556
774352,Quercus,acutifolia,-92.9227777777778,17.1816666666667
774353,Quercus,acutifolia,-99.117,21.292
774354,Quercus,acutifolia,-92.9841666666667,15.7072222222222
774355,Quercus,acutifolia,-94.0333333333333,16.4611111111111
774356,Quercus,acutifolia,-98.7,20.8
774357,Quercus,acutifolia,-93.9580555555556,16.5863888888889
774358,Quercus,acutifolia,-97.025,16.4916666666667
774359,Quercus,acutifolia,-101.458333333333,19.2416666666667
774360,Quercus,acutifolia,-102.405,19.4758333333333
774361,Quercus,acutifolia,-98.858333333333,19.563333333333
774362,Quercus,acutifolia,-100.348333333333,19.3416666666667
774363,Quercus,acutifolia,-96.258,17.092
774364,Quercus,acutifolia,-98.8316666666667,20.6263888888889
774365,Quercus,acutifolia,-96.9,16.445
774366,Quercus,acutifolia,-100.118333333333,20.8063888888889
774367,Quercus,acutifolia,-99.177,17.599
774369,Quercus,acutifolia,-92.7402777777778,15.5756388888889
774370,Quercus,acutifolia,-92.5472222222222,15.4055555555556
774371,Quercus,acutifolia,-96.947,19.59
774372,Quercus,acutifolia,-93.0543611111111,15.8105555555556
774373,Quercus,acutifolia,-97.9775,20.22833
774374,Quercus,acutifolia,-97.4916666666667,17.975
774375,Quercus,acutifolia,-98.91,19.533
774376,Quercus,acutifolia,-99.425,22.125
774377,Quercus,acutifolia,-92.6333333333333,15.425
774378,Quercus,acutifolia,-97.737,18.397
774379,Quercus,acutifolia,-98.375,17.325
774380,Quercus,acutifolia,-100.826944444444,19.8583333333333
774381,Quercus,acutifolia,-96.25,16.65
774382,Quercus,acutifolia,-99.9530555555556,25.3688888888889
774383,Quercus,acutifolia,-98.237409,22.654194
774384,Quercus,acutifolia,-93.065,15.7888888888889
774385,Quercus,acutifolia,-100.853333333333,19.675
774386,Quercus,acutifolia,-102.363,19.337
774387,Quercus,acutifolia,-101.736666666667,19.6716666666667
774388,Quercus,acutifolia,-96.9433333333333,19.5125
774389,Quercus,acutifolia,-101.8,19.463333333333
774390,Quercus,acutifolia,-98.226666666667,20.335
774391,Quercus,acutifolia,-97.361666666667,17.726666666667
774392,Quercus,acutifolia,-99.2216666666667,19.715
774393,Quercus,acutifolia,-101.393,18.213
774394,Quercus,acutifolia,-98.5516666666667,19.785
774395,Quercus,acutifolia,-99.7083333333333,17.5416666666667
774396,Quercus,acutifolia,-92.7583333333333,15.8402777777778
774397,Quercus,acutifolia,-98.762,19.517
774398,Quercus,acutifolia,-100.171666666667,19.8616666666667
774399,Quercus,acutifolia,-92.4055555555556,16.4375
774400,Quercus,acutifolia,-92.9333333333333,16.75
774401,Quercus,acutifolia,-100.101666666667,20.4
774402,Quercus,acutifolia,-100.10166666667,20.4
774403,Quercus,acutifolia,-104.20306,19.71806
774404,Quercus,acutifolia,-97.675,17.2583333333333
774405,Quercus,acutifolia,-101.537,19.4
774406,Quercus,acutifolia,-98.8983333333333,19.475
774407,Quercus,acutifolia,-99.1908333333333,21.2683333333333
774408,Quercus,acutifolia,-100.20316,19.19936
774409,Quercus,acutifolia,-96.952,19.626
774410,Quercus,acutifolia,-92.86,17.1
774411,Quercus,acutifolia,-97.0394444444444,17.1655555555556
774412,Quercus,acutifolia,-98.575,20.6583333333333
774413,Quercus,acutifolia,-99.8319444444444,24.3513888888889
774414,Quercus,acutifolia,-92.9722222222222,16.0513888888889
